Date,Destination,Miles,Hours,Minutes,Duration,Speed,Type
7/8/20,To Citarella,1.08,,9.0,0.15,7.2,Citibike
9/6/16,Citibike from Work,0.91,,10.0,0.17,5.46,Citibike
10/22/20,Wards Island,12.42,1.0,40.0,1.67,7.45,Specialized
9/20/16,Citibike to Work,1.09,,12.0,0.2,5.45,Citibike
12/11/20,Dn ES Up WS,21.6,2.0,36.0,2.6,8.31,Specialized
4/23/21,Wards Island,13.05,1.0,38.0,1.63,7.99,Specialized
6/15/16,Citibike to Work,1.04,,9.0,0.15,6.93,Citibike
7/29/20,Wards Island,12.55,1.0,43.0,1.72,7.31,Specialized
10/18/16,Citibike from Work,0.92,,9.0,0.15,6.13,Citibike
6/15/20,Up Down WS to GWB,17.09,1.0,54.0,1.9,8.99,Specialized
8/18/18,Summer Streets,11.25,1.0,24.0,1.4,8.04,Specialized
11/28/16,Citibike to Work,1.15,,11.0,0.18,6.27,Citibike
11/4/16,Citibike to Work,1.12,,10.0,0.17,6.72,Citibike
9/26/20,Up Dn WS to GWB Up ES,29.69,3.0,10.0,3.17,9.38,Specialized
3/26/21,To El Tepeyac,3.1,,28.0,0.47,6.64,Citibike
1/13/17,Citibike to Work,1.18,,14.0,0.23,5.06,Citibike
7/15/20,CP BL,7.42,,45.0,0.75,9.89,Specialized
6/27/20,Wards Island,13.8,1.0,49.0,1.82,7.6,Specialized
6/10/20,UWS to Inwood,22.06,2.0,58.0,2.97,7.44,Specialized
7/14/16,Citibike to Work,1.32,,11.0,0.18,7.2,Citibike
7/31/20,From Herald Square,2.85,,25.0,0.42,6.84,Citibike
10/21/16,Citibike from Work,3.51,,26.0,0.43,8.1,Citibike
9/8/19,Wards Island,11.43,1.0,32.0,1.53,7.45,Specialized
11/16/16,Citibike to Work,1.08,,11.0,0.18,5.89,Citibike
10/7/16,Citibike to Work,1.22,,12.0,0.2,6.1,Citibike
8/28/18,CP BL,6.78,,43.0,0.72,9.46,Specialized
10/8/20,Wards Island x 2,17.71,2.0,7.0,2.12,8.37,Specialized
7/24/20,To Zabars,2.07,,16.0,0.27,7.76,Citibike
10/5/16,Citibike from Work,0.88,,8.0,0.13,6.6,Citibike
5/4/20,To Zabars,2.2,,15.0,0.25,8.8,Citibike
8/2/16,Citibike to Work Midday,1.03,,13.0,0.22,4.75,Citibike
9/6/16,Citibike to Work,1.13,,11.0,0.18,6.16,Citibike
9/2/16,Citibike to Work,1.27,,9.0,0.15,8.47,Citibike
8/28/20,To Fogo de Chao,1.65,,13.0,0.22,7.62,Citibike
6/30/16,Citibike from Work,1.11,,10.0,0.17,6.66,Citibike
9/17/16,Down ES UP WS,17.25,1.0,49.0,1.82,9.5,Specialized
11/12/16,To Essex Market,3.43,,29.0,0.48,7.1,Citibike
8/4/18,Summer Streets,11.55,1.0,25.0,1.42,8.15,Specialized
11/9/20,Dn ES Up WS,17.7,2.0,3.0,2.05,8.63,Specialized
3/11/20,Down ES UP WS,17.08,2.0,8.0,2.13,8.01,Specialized
11/4/16,Citibike to Work Midday,1.23,,13.0,0.22,5.68,Citibike
7/26/20,Wards Island,12.67,1.0,35.0,1.58,8.0,Specialized
7/3/16,Down ES UP WS,17.84,2.0,10.0,2.17,8.23,Specialized
6/16/20,Down WS Up WS to GWB,26.63,3.0,8.0,3.13,8.5,Specialized
11/14/16,Citibike from Work,0.82,,7.0,0.12,7.03,Citibike
3/22/20,Wards Island,10.92,1.0,22.0,1.37,7.99,Specialized
10/6/16,Citibike to Work,1.27,,10.0,0.17,7.62,Citibike
4/5/20,CP BL,7.77,,48.0,0.8,9.71,Specialized
7/25/20,Down Up LWS,14.47,1.0,43.0,1.72,8.43,Specialized
9/4/20,To Astor Wines,2.92,,25.0,0.42,7.01,Citibike
9/14/19,Wards Island,13.27,1.0,40.0,1.67,7.96,Specialized
9/9/16,Citibike from Work,0.96,,7.0,0.12,8.23,Citibike
8/27/19,CP BL x 2,13.66,1.0,49.0,1.82,7.52,Specialized
10/19/16,Citibike to Work,1.53,,10.0,0.17,9.18,Citibike
4/28/20,CP BL,7.81,,50.0,0.83,9.37,Specialized
11/27/20,Wards Island x 2 Astoria,22.87,2.0,48.0,2.8,8.17,Specialized
8/24/16,Citibike from Work,0.83,,8.0,0.13,6.23,Citibike
4/14/20,CP BL x 3,19.93,2.0,6.0,2.1,9.49,Specialized
7/28/20,CP BL,7.38,,52.0,0.87,8.52,Specialized
9/17/19,CP BL,7.31,,59.0,0.98,7.43,Specialized
6/19/16,Down ES Up ES,13.98,1.0,51.0,1.85,7.56,Specialized
11/2/19,Wards Island,14.2,2.0,9.0,2.15,6.6,Specialized
7/15/19,Up Down ES,3.74,,33.0,0.55,6.8,Specialized
8/19/16,Citibike to Work,1.16,,10.0,0.17,6.96,Citibike
7/26/19,To Essex Market,3.14,,27.0,0.45,6.98,Citibike
9/3/16,Down ES UP WS,16.72,1.0,52.0,1.87,8.96,Specialized
3/21/21,Dn ES Up LWS,15.74,2.0,1.0,2.02,7.8,Specialized
11/6/19,Down ES UP WS,16.63,2.0,,2.0,8.32,Specialized
12/27/20,From Zabars,1.75,,15.0,0.25,7.0,Citibike
